Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
Kiin,Gangplank,TOP,16,2,1,8,10,252,4,,8.9,13461,475,23.2%,32,14,3,5,5,1.13,0.49,0.18,0.11,13.5%,15214,10060,2645,2509,537,22.9%,0.35,52.6%,,1,0,0,0,732,23,122,0,0,9719,9719,4714,0,8267,0,5,156,13570,42,7,22,0,100
Cuzz,Viego,JUNGLE,15,8,2,10,9,182,156,,6.4,12952,457,22.3%,63,6,20,14,4,2.22,0.21,0.49,0.71,26.6%,16015,13084,2333,598,566,24.1%,0.64,94.7%,,1,0,0,0,961,-6,197,0,0,2852,2852,14400,0,24001,0,12,198,23779,66,5,24,0,150
Bdd,Ahri,MID,15,7,3,10,5.7,219,0,,7.7,12578,444,21.7%,28,8,6,5,5,0.99,0.28,0.18,0.21,11.8%,20944,2269,12940,5735,740,31.6%,0.6,89.5%,,1,0,0,0,394,-16,-1353,-1,0,1133,1133,4230,0,10336,0,22,77,16177,114,7,23,100,500
Aiming,Tristana,ADC,15,0,2,13,6.5,264,12,,9.3,11753,415,20.2%,42,13,10,5,5,1.48,0.46,0.18,0.35,17.7%,10748,9336,1297,115,380,16.2%,0.46,68.4%,,0,0,0,0,-487,17,-170,0,0,7296,7296,3407,0,6309,0,4,53,9404,33,6,23,0,0
Lehends,Alistar,SUPPORT,12,2,3,11,4.3,30,0,,1.1,7317,258,12.6%,72,40,5,14,14,2.54,1.41,0.49,0.18,30.4%,3438,157,2751,530,121,5.2%,0.46,68.4%,,0,0,0,0,40,1,518,0,0,0,0,3062,1762,16728,77,20,55,11572,49,16,27,0,0
Clear,Jax,TOP,14,1,3,3,1.3,201,8,,7.1,8928,315,19.9%,19,10,2,3,2,0.67,0.35,0.11,0.07,9%,11436,4834,6557,45,404,21.9%,0.14,36.4%,,0,0,0,0,-732,-23,-122,0,0,0,0,1731,0,15497,0,14,124,17095,85,6,22,150,0
Willer,Nocturne,JUNGLE,13,2,3,4,2,164,158,,5.8,8619,304,19.2%,43,19,6,11,10,1.52,0.67,0.39,0.21,20.3%,7734,6688,547,499,273,14.8%,0.21,54.5%,,0,0,0,0,-961,6,-197,0,0,0,0,14575,0,22317,0,92,589,26170,41,12,26,0,0
Clozer,Akali,MID,15,4,2,5,4.5,243,0,,8.6,10890,385,24.2%,27,9,8,8,7,0.95,0.32,0.28,0.28,12.7%,13266,625,12641,0,468,25.4%,0.32,81.8%,,0,0,0,0,-394,16,1353,1,0,0,0,2989,0,11234,0,2,82,20203,45,9,25,400,50
Teddy,Kai,ADC,13,4,5,5,1.8,234,4,,8.3,10852,383,24.2%,31,12,5,3,3,1.09,0.42,0.11,0.18,14.6%,16613,7470,8912,231,587,31.8%,0.32,81.8%,,0,0,0,0,487,-17,170,0,0,0,0,2420,220,9331,0,2,41,14899,147,4,21,200,50
Kael,Rell,SUPPORT,10,0,6,7,1.2,27,0,,1,5630,199,12.5%,92,49,7,15,15,3.25,1.73,0.53,0.25,43.4%,3172,247,2114,811,112,6.1%,0.25,63.6%,,0,0,0,0,-40,-1,-518,0,0,0,0,3,0,14626,0,34,96,12309,157,17,29,0,0
